categorySlug,region,Comercio,sale,sessions,quote,inauguration_year,furnitureWithEquipment,merchandise,surface,gross_income,GoogleDisplay,adwords,bing,facebook,hs_automation,hubspot
negocio-inmobiliario,Catalonia,1.0,0,1.0,1,2016.0,3000.0,3000.0,35.0,100000.0,0,0,0,1,0,0
negocio-inmobiliario,Catalonia,1.0,0,1.0,1,1990.0,15000.0,3000.0,20.0,900000.0,0,1,0,0,0,0
negocio-inmobiliario,Andalusia,1.0,0,1.0,1,1970.0,5000.0,50000.0,240.0,10700.0,0,1,0,0,0,0
negocio-inmobiliario,Canary_Islands,1.0,0,5.0,1,1969.0,3000.0,6000.0,70.0,30000.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,0,1.0,0,2005.0,20000.0,3000.0,35.0,3000.0,0,1,0,0,0,0
negocio-inmobiliario,Andalusia,1.0,0,1.0,0,1980.0,3000.0,25000.0,70.0,45000.0,0,0,0,0,0,1
negocio-inmobiliario,Community_of_Madrid,1.0,0,12.0,1,1996.0,5600.0,3500.0,100.0,1000000.0,0,0,1,0,0,0
negocio-inmobiliario,Castile_and_Leon,1.0,0,1.0,0,1940.0,6000.0,6000.0,390.0,100000.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,0,7.0,1,1990.0,10000.0,50000.0,90.0,50000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,0,1.0,0,2017.0,6000.0,25000.0,200.0,1000000.0,0,0,1,0,0,0
negocio-inmobiliario,Andalusia,1.0,1,2.0,0,1985.0,7000.0,3000.0,35.0,20000.0,0,1,0,0,0,0
negocio-inmobiliario,Castile-La_Mancha,1.0,1,2.0,1,2007.0,7500.0,3000.0,160.0,100000.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,0,1.0,0,2000.0,3000.0,3000.0,50.0,3000.0,0,0,1,0,0,0
negocio-inmobiliario,Madrid,1.0,0,2.0,0,2008.0,15000.0,3000.0,35.0,3000.0,0,1,0,0,0,0
negocio-inmobiliario,Community_of_Madrid,1.0,0,1.0,1,2010.0,5000.0,3000.0,70.0,20000.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,0,1.0,0,1960.0,4000.0,50000.0,150.0,20000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,0,5.0,1,2020.0,3000.0,3000.0,45.0,30000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,0,1.0,1,1970.0,3000.0,3000.0,50.0,10000.0,0,1,0,0,0,0
negocio-inmobiliario,Canary_Islands,1.0,0,1.0,0,2000.0,3000.0,3000.0,500.0,8000.0,0,0,1,0,0,0
